entry,Level of Study,College,Mode of Study,Sex,Location,Library Form,Score,Level of Awarenes,library utilization
student 75,Diploma,COETEC,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Rarely (1-3 times)
student 76,Degree,COHRED,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 77,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 78,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 79,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 80,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 81,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 82,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Sometimes (4-7 times)
student 83,Diploma,COHRED,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 84,Diploma,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 85,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 86,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 87,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 88,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 89,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 90,Degree,COANRE,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 91,Degree,COANRE,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 92,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 93,Diploma,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Sometimes (4-7 times)
student 94,Diploma,COHRED,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 95,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Frequently (more than 7 times)
student 96,Degree,COETEC,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Sometimes (4-7 times)
student 97,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",16,High,Sometimes (4-7 times)
student 98,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",18,High,Sometimes (4-7 times)
student 99,Diploma,COHRED,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Frequently (more than 7 times)
student 100,Degree,COANRE,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Sometimes (4-7 times)
student 101,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",16,High,Frequently (more than 7 times)
student 102,Diploma,COHRED,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 103,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 104,Diploma,COHRED,Part-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 105,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 106,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 107,Degree,COHES,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 108,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 109,Diploma,COANRE,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Sometimes (4-7 times)
student 110,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 111,Masters,COANRE,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Frequently (more than 7 times)
student 112,Degree,COETEC,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 113,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 114,Degree,COANRE,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Rarely (1-3 times)
student 115,Degree,COHRED,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Rarely (1-3 times)
student 116,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 117,Degree,COPAS,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Sometimes (4-7 times)
student 118,Degree,COETEC,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 119,Diploma,COHRED,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 120,Diploma,COANRE,Part-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 121,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 122,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 123,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 124,Degree,COHRED,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Rarely (1-3 times)
student 125,Masters,COETEC,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 126,Diploma,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 127,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 128,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 129,Diploma,COETEC,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 130,Degree,COETEC,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 131,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",18,High,Sometimes (4-7 times)
student 132,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Frequently (more than 7 times)
student 133,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 134,Diploma,COETEC,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 135,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Sometimes (4-7 times)
student 136,Degree,COETEC,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 137,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Frequently (more than 7 times)
student 138,Degree,COETEC,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 139,Degree,COETEC,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 140,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Sometimes (4-7 times)
student 141,Degree,COETEC,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 142,Diploma,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Rarely (1-3 times)
student 143,Degree,COETEC,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Sometimes (4-7 times)
student 144,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Rarely (1-3 times)
student 145,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Frequently (more than 7 times)
student 146,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",0,Low,Sometimes (4-7 times)
student 147,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 148,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Rarely (1-3 times)
student 149,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Frequently (more than 7 times)
student 150,Degree,COETEC,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Sometimes (4-7 times)
student 151,Degree,COETEC,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",18,High,Sometimes (4-7 times)
student 152,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Frequently (more than 7 times)
student 153,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Sometimes (4-7 times)
student 154,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 155,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Rarely (1-3 times)
student 156,Degree,COETEC,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 157,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",18,High,Rarely (1-3 times)
student 158,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Rarely (1-3 times)
student 159,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 160,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Frequently (more than 7 times)
student 161,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Frequently (more than 7 times)
student 162,Degree,COETEC,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Sometimes (4-7 times)
student 163,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Sometimes (4-7 times)
student 164,Degree,COETEC,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 165,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",16,High,Frequently (more than 7 times)
student 166,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 167,Degree,COETEC,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 168,Degree,COETEC,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Sometimes (4-7 times)
student 169,Diploma,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Sometimes (4-7 times)
student 170,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",14,High,Rarely (1-3 times)
student 171,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Frequently (more than 7 times)
student 172,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Rarely (1-3 times)
student 173,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 174,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 175,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Frequently (more than 7 times)
student 176,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 177,Degree,COHES,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 178,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 179,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 180,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 181,Degree,COHES,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 182,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 183,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",0,Low,Sometimes (4-7 times)
student 184,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 185,Degree,COHES,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",16,High,Sometimes (4-7 times)
student 186,Degree,COHES,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 187,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Frequently (more than 7 times)
student 188,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 189,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 190,Degree,COHES,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 191,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 192,Degree,COHES,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 193,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 194,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 195,Degree,COHES,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",16,High,Frequently (more than 7 times)
student 196,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 197,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 198,Degree,COHES,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
